hotel_id,room_id,name,amenities
B-70630,RB-90462,"Accessible Room, View",
B-89334,RB-08828,Run of House,
B-52255,RB-04336,Deluxe,WiFi speed - 25+ Mbps|Towels provided|Bedsheets provided|Non-Smoking|Fan|Shower only|Wireless internet access|Premium bedding|Egyptian-cotton sheets|Toothbrush and toothpaste available on request|TV size measurement: inch|TV size measurement: inch|Private bathroom|Private bathroom|Free toiletries|Free toiletries|Daily housekeeping|Daily housekeeping|Air conditioning|Air conditioning|TV size: 28|TV size: 28|Free WiFi|Free WiFi|Rainfall showerhead|Rainfall showerhead|In-room safe|LCD TV|WiFi speed - 25+ Mbps|Towels provided|Bedsheets provided|Non-Smoking|Fan|Shower only|Wireless internet access|Premium bedding|Egyptian-cotton sheets|Toothbrush and toothpaste available on request|In-room safe|LCD TV|Cable TV service|Cable TV service|Free bottled water|Free bottled water
B-17692,RB-84864,Run of House,
B-29646,RB-43593,"Executive, Twin",
B-17889,RB-89594,"Deluxe, Double or King, Garden View",
B-92808,RB-92112,"Standard, Single",
B-12604,RB-43947,Studio,Air conditioning
B-60146,RB-76085,"Deluxe, Balcony",Attached washroom|Blanket|Fan|Attached washroom|Blanket|Fan
B-24327,RB-29583,Run of House,
B-00573,RB-34785,Run of House,
B-34942,RB-28798,"Deluxe, King",
B-78537,RB-61066,"Deluxe, King",Desk|No rollaway/extra beds|Towels provided|Bedsheets provided|Mini-fridge|LED TV|Toothbrush and toothpaste available|Doorbell/telephone notification|Shower only|Wireless internet access|Desk|TV size measurement: inch|No rollaway/extra beds|Slippers|Towels provided|Visual doorbell/knocker notification|Bedsheets provided|Private bathroom|Mini-fridge|Bathrobes|LED TV|Wheelchair accessible|Toothbrush and toothpaste available|Doorbell/telephone notification|Shower only|Wireless internet access|Smooth flooring in room|Non-Smoking|Premium bedding|Electric kettle|Satellite TV service|Iron/ironing board (on request)|Soundproofed rooms|Wardrobe or closet|Daily housekeeping|Free WiFi|Hair dryer|Air conditioning|TV size: 30|Free tea bags/instant coffee|TV size measurement: inch|Rainfall showerhead|Slippers|In-room safe|Visual doorbell/knocker notification|Separate sitting area|Private bathroom|Free bottled water|Bathrobes|Wheelchair accessible|Hair dryer|Air conditioning|TV size: 30|Free tea bags/instant coffee|Rainfall showerhead|In-room safe|Separate sitting area|Free bottled water|Smooth flooring in room|Non-Smoking|Premium bedding|Electric kettle|Satellite TV service|Iron/ironing board (on request)|Soundproofed rooms|Wardrobe or closet|Daily housekeeping|Free WiFi
B-43300,RB-05915,"Business, 2 Bed",
B-90289,RB-57950,Junior Suite Deluxe,
B-07034,RB-82735,Villa,Attached washroom|Blanket|Fan|Attached washroom|Blanket|Fan
B-14134,RB-60990,Standard Room,Wine glasses|Trash can|Wardrobe/closet|Dental kit|Trash can|Wardrobe/closet|Dental kit|Air conditioning|Conditioner|Desk|Feather pillow|Ironing facilities|Shampoo|Shower|Air conditioning|Conditioner|Desk|Feather pillow|Ironing facilities|Shampoo|Shower|Towels|TV|Wine glasses|Towels|TV
B-18875,RB-20062,Run of House,
B-29268,RB-19921,"Junior Suite, 1 Double or 1 King, 1 Bedroom, Smoking Allowed",
B-48222,RB-56881,Luxury Suite,AIR CONDITIONING INDIVIDUALLY CONTROLLED IN ROOM|CEILING FAN|CLEANING PRODUCTS|DESK/WORKSPACE|REFRIGERATOR|SHAMPOO|SLIPPERS|TELEVISION|TOILET PAPER|24 HOUR ROOM SERVICE |AIR CONDITIONING INDIVIDUALLY CONTROLLED IN ROOM|CEILING FAN|CLEANING PRODUCTS|DESK/WORKSPACE|REFRIGERATOR|SHAMPOO|SLIPPERS|TELEVISION|TOILET PAPER|24 HOUR ROOM SERVICE 
B-50629,RB-75873,"Chamber, King, City View",
B-45417,RB-55865,Run of House,
B-67864,RB-85470,"Studio, Double",WiFi speed - 25+ Mbps|Towels provided|Bedsheets provided|Non-Smoking|Television|Wireless internet access|Premium bedding|Electric kettle|Soundproofed rooms|TV size measurement: inch|Private bathroom|Private bathroom|Wardrobe or closet|Wardrobe or closet|Ceiling fan|Ceiling fan|Daily housekeeping|Daily housekeeping|Air conditioning|Air conditioning|TV size: 42|TV size: 42|Free WiFi|Free WiFi|Iron/ironing board|Iron/ironing board|Bidet|Kitchenette|WiFi speed - 25+ Mbps|Towels provided|Bedsheets provided|Non-Smoking|Television|Wireless internet access|Premium bedding|Electric kettle|Soundproofed rooms|TV size measurement: inch|Bidet|Kitchenette|Desk|Desk|Free bottled water|Free bottled water
B-07645,RB-20630,"Standard, Double or King, City View, Lounge Access",Lounge
B-03591,RB-14918,"Condominium, 5 Bedroom",
B-01603,RB-13832,Superior Double Room,
B-08557,RB-81727,Premium,Towels provided|Non-Smoking|Soap|Tile flooring in room|LED TV|Shower only|Electric kettle|Private bathroom|Wardrobe or closet|Free toiletries|Coffee/tea maker|Coffee/tea maker|Ceiling fan|Ceiling fan|Daily housekeeping|Daily housekeeping|Air conditioning|Air conditioning|TV size: 32|TV size: 32|Iron/ironing board|Iron/ironing board|Rollaway/extra beds (surcharge)|Rollaway/extra beds (surcharge)|Separate sitting area|Separate sitting area|Desk|Cable TV service|Towels provided|Non-Smoking|Soap|Tile flooring in room|LED TV|Shower only|Electric kettle|Private bathroom|Wardrobe or closet|Free toiletries|Desk|Cable TV service|Free bottled water|Free bottled water|No cribs (infant beds)|No cribs (infant beds)
